['study', 'patient_ID', 'radio', 'surgery', 'chemo', 'hormone', 'pCR', 'RFS', 'DFS', 'posOutcome', 'coincide_cat', 'pam_cat', 'pam_name']
==> pCR
1, (0, 0, 1, 0),   295,   0.647
1, (0, 0, 1, 1),     4,   0
2, (0, 0, 1, 0),    93,   0.613
2, (0, 0, 1, 1),    22,   0.682
3, (0, 0, 0, 1),    39,   0.769
3, (0, 0, 1, 0),   330,   0.488
3, (0, 0, 1, 1),    20,   0.4
4, (0, 0, 0, 1),    14,   0.5
4, (0, 0, 1, 0),   256,   0.434
4, (0, 0, 1, 1),     3,   0
5, (0, 0, 1, 0),    57,   0.333
5, (0, 0, 1, 1),     1,   1


==> RFS
1, (0, 0, 0, 0),     2,   0.5
1, (0, 0, 0, 1),     4,   0.75
1, (0, 0, 1, 0),    47,   0.745
1, (0, 0, 1, 1),     1,   0
1, (1, 0, 0, 0),    50,   0.6
1, (1, 0, 0, 1),     1,   1
2, (0, 0, 0, 1),    24,   0.75
2, (0, 0, 1, 0),    31,   0.774
2, (0, 0, 1, 1),     7,   1
2, (1, 0, 0, 0),    19,   0.632
2, (1, 0, 0, 1),    62,   0.71
2, (1, 2, 1, 1),     1,   1
3, (0, 0, 0, 0),     2,   1
3, (0, 0, 0, 1),   260,   0.792
3, (0, 0, 1, 0),    60,   0.817
3, (0, 0, 1, 1),    35,   0.886
3, (0, 1, 0, 1),     3,   0.667
3, (0, 1, 1, 1),     1,   1
3, (0, 2, 0, 1),     1,   1
3, (1, 0, 0, 0),   136,   0.721
3, (1, 0, 0, 1),    20,   0.3
3, (1, 1, 0, 1),     4,   0.75
3, (1, 1, 1, 1),     5,   1
3, (1, 2, 0, 1),    12,   1
3, (1, 2, 1, 1),     5,   1
4, (0, 0, 0, 0),     2,   0.5
4, (0, 0, 0, 1),    58,   0.586
4, (0, 0, 1, 0),     6,   0.667
4, (0, 0, 1, 1),    11,   1
4, (0, 1, 0, 1),     1,   1
4, (1, 0, 0, 0),    74,   0.459
4, (1, 0, 0, 1),    30,   0.8
4, (1, 1, 0, 1),     2,   0.5
4, (1, 1, 1, 1),     2,   0
4, (1, 2, 0, 1),     7,   0.571
4, (1, 2, 1, 1),     4,   0.5
5, (0, 0, 0, 0),     2,   0.5
5, (0, 0, 0, 1),     6,   0.833
5, (0, 0, 1, 0),    11,   0.364
5, (0, 0, 1, 1),     1,   1
5, (1, 0, 0, 0),     7,   0.714
5, (1, 0, 0, 1),     1,   1


==> DFS
1, (0, 0, 1, 0),   192,   0.766
2, (0, 0, 0, 1),     2,   0.5
2, (0, 0, 1, 0),    22,   0.864
3, (0, 0, 0, 1),   161,   0.764
3, (0, 0, 1, 0),   123,   0.902
4, (0, 0, 0, 1),    31,   0.71
4, (0, 0, 1, 0),   101,   0.802
5, (0, 0, 0, 1),     2,   1
5, (0, 0, 1, 0),    22,   0.545


==> posOutcome
1, (0, 0, 0, 0),     2,   0.5
1, (0, 0, 0, 1),     4,   0.75
1, (0, 0, 1, 0),   317,   0.666
1, (0, 0, 1, 1),     4,   0
1, (1, 0, 0, 0),    50,   0.6
1, (1, 0, 0, 1),     1,   1
2, (0, 0, 0, 1),    26,   0.731
2, (0, 0, 1, 0),   101,   0.614
2, (0, 0, 1, 1),    24,   0.708
2, (1, 0, 0, 0),    19,   0.632
2, (1, 0, 0, 1),    62,   0.71
2, (1, 2, 1, 1),     1,   1
3, (0, 0, 0, 0),     2,   1
3, (0, 0, 0, 1),   460,   0.78
3, (0, 0, 1, 0),   336,   0.494
3, (0, 0, 1, 1),    49,   0.714
3, (0, 1, 0, 1),     3,   0.667
3, (0, 1, 1, 1),     1,   1
3, (0, 2, 0, 1),     1,   1
3, (1, 0, 0, 0),   136,   0.721
3, (1, 0, 0, 1),    20,   0.3
3, (1, 1, 0, 1),     4,   0.75
3, (1, 1, 1, 1),     5,   1
3, (1, 2, 0, 1),    12,   1
3, (1, 2, 1, 1),     5,   1
4, (0, 0, 0, 0),     2,   0.5
4, (0, 0, 0, 1),   103,   0.612
4, (0, 0, 1, 0),   262,   0.439
4, (0, 0, 1, 1),    14,   0.786
4, (0, 1, 0, 1),     1,   1
4, (1, 0, 0, 0),    74,   0.459
4, (1, 0, 0, 1),    30,   0.8
4, (1, 1, 0, 1),     2,   0.5
4, (1, 1, 1, 1),     2,   0
4, (1, 2, 0, 1),     7,   0.571
4, (1, 2, 1, 1),     4,   0.5
5, (0, 0, 0, 0),     2,   0.5
5, (0, 0, 0, 1),     8,   0.875
5, (0, 0, 1, 0),    60,   0.317
5, (0, 0, 1, 1),     1,   1
5, (1, 0, 0, 0),     7,   0.714
5, (1, 0, 0, 1),     1,   1


